"","x","y"
"1",1,73.1422754586687
"2",1.5,16.5334343736964
"3",2,64.4877198721312
"4",2.5,43.8192814298589
"5",3,189.743868790627
"6",3.5,109.488391090811
"7",4,-34.7436971104377
"8",4.5,105.776749861794
"9",5,41.4337494242633
"10",5.5,90.094149647184
"11",6,101.33257928598
"12",6.5,143.454901903602
"13",7,130.044894599866
"14",7.5,170.421401180444
"15",8,276.29439298956
"16",8.5,147.795667567324
"17",9,162.075180735709
"18",9.5,201.687157640949
"19",10,181.044815029192
"20",10.5,127.865005529019
"21",11,129.996429041399
"22",11.5,204.72747372157
"23",12,214.382146852579
"24",12.5,220.23368503932
"25",13,136.317316528025
"26",13.5,168.104158614827
"27",14,229.614072880343
"28",14.5,224.943031494125
"29",15,157.956661291831
"30",15.5,239.640134509726
"31",16,208.463943160846
"32",16.5,199.253215957645
"33",17,204.907290494689
"34",17.5,121.24120888096
"35",18,294.977639123564
"36",18.5,228.896151580501
"37",19,142.642389369709
"38",19.5,150.489460877377
"39",20,301.026880716784
"40",20.5,178.159577583456
"41",21,181.809737184819
"42",21.5,125.501989480353
"43",22,189.325243472278
"44",22.5,330.20265918438
"45",23,233.769211356623
"46",23.5,258.99379947291
"47",24,198.65820710987
"48",24.5,172.789890760333
"49",25,232.161304236907
"50",25.5,338.0144611633
"51",26,219.665340668246
"52",26.5,280.142135550231
"53",27,222.16114828015
"54",27.5,274.055217927904
"55",28,293.387535657877
"56",28.5,305.074302200924
"57",29,220.468449390973
"58",29.5,197.18947896104
"59",30,204.033555242224
"60",30.5,379.420929915303
"61",31,194.160358082771
"62",31.5,205.49753731481
"63",32,287.472628279613
"64",32.5,254.973474132575
"65",33,291.295111890255
"66",33.5,249.093049752788
"67",34,236.036745216843
"68",34.5,266.477282401468
"69",35,366.721224878921
"70",35.5,409.423173092557
"71",36,343.996140600241
"72",36.5,379.498010497228
"73",37,224.380747025403
"74",37.5,286.410496844599
"75",38,242.294707345769
"76",38.5,418.319693733302
"77",39,342.440410624143
"78",39.5,170.275254334121
"79",40,230.909596822839
"80",40.5,324.671948748758
"81",41,318.825146755717
"82",41.5,291.004844970276
"83",42,328.888585226989
"84",42.5,288.766767980628
"85",43,279.850559322882
"86",43.5,272.393063798993
"87",44,316.9410901024
"88",44.5,382.554316777976
"89",45,225.448327503598
"90",45.5,179.693523152947
"91",46,295.935109339538
"92",46.5,253.82382367271
"93",47,283.327777901047
"94",47.5,302.371283623099
"95",48,231.912818877818
"96",48.5,286.728497504531
"97",49,389.125142501817
"98",49.5,151.964710830156
"99",50,377.58417378353
"100",50.5,312.799601281678
"101",51,202.992748369666
