,Wine.Color,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Class
1,W,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,Bad
2,W,7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,Bad
3,W,6.7,0.24,0.29,14.9,0.053,55,136,0.99839,3.03,0.52,9,Good
4,W,7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,Good
5,W,6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,Bad
6,W,6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,Good
7,W,8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,Good
8,W,8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,Good
9,W,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,Bad
10,W,6.9,0.21,0.24,1.8,0.021,17,80,0.98992,3.15,0.46,12.3,Good
11,R,7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,Bad
12,W,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,Good
13,W,6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,Good
14,W,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1,Bad
15,W,7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,Good
16,W,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,Bad
17,W,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,Good
18,R,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,Bad
19,W,6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,Good
20,W,6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,Good
21,R,8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,Good
22,W,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,Bad
23,W,8,0.32,0.36,4.6,0.042,56,178,0.9928,3.29,0.47,12,Bad
24,W,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,Bad
25,R,7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,Bad
